,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
60,李群,男,汉族,01/02/1962,山东省,威海市,文登市,博士,01/05/1984,在职,,,,,,,,,,,,,,,,,
61,连承敏,男,汉族,01/03/1951,山东省,威海市,荣成市,本科,01/12/1972,退休,,,,,,,,,,,,,,,,,
62,张少军,男,汉族,01/10/1955,山东省,潍坊市,临朐县,硕士,01/12/1981,在职,,,,,,,,,,,,,,,,,
63,张务锋,男,汉族,01/10/1960,山东省,莱芜市,,硕士,01/03/1984,在职,,,,,,,,,,,,,,,,,
64,焉荣竹,男,汉族,01/11/1952,山东省,威海市,乳山市,硕士,01/09/1971,在职,,,,,,,,,,,,,,,,,
65,张江汀,男,汉族,01/10/1961,山东省,潍坊市,昌邑县,硕士,01/12/1984,在职,,,,,,,,,,,,,,,,,
66,王良,男,汉族,01/06/1964,山东省,威海市,乳山市,硕士,01/03/1985,在职,,,,,,,,,,,,,,,,,
67,张惠来,男,汉族,01/12/1942,山东省,威海市,荣成市,本科,01/01/1970,退休,,,,,,,,,,,,,,,,,
68,杜世成,男,汉族,01/03/1950,山东省,烟台市,龙口市,硕士,01/12/1972,立案查处,,是,贪污腐败,,否,24/12/2006,中纪委,是,受贿罪,人民币626万,06/02/2008,福建省,厦门市,无期徒刑,否,,
69,阎启俊,男,汉族,01/05/1950,山东省,滨州市,博兴县,本科,01/01/1972,在职,,,,,,,,,,,,,,,,,
70,夏耕,男,汉族,01/01/1957,黑龙江省,哈尔滨市,五常市,博士,01/12/1984,在职,,,,,,,,,,,,,,,,,
71,张新起,男,汉族,01/08/1956,山东省,威海市,荣成市,硕士,01/03/1977,在职,,,,,,,,,,,,,,,,,
72,张建国,男,汉族,01/01/1954,山东省,滨州市,沾化县,硕士,01/09/1973,在职,,,,,,,,,,,,,,,,,
73,刘慧晏,男,汉族,01/06/1964,山东省,烟台市,招远市,博士,01/04/1987,在职,,,,,,,,,,,,,,,,,
