,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
1680,公保尚,男,藏族,01/07/1948,青海省,海东地区,乐都县,不详,,退休,,,,,,,,,,,,,,,,,
1681,更藏加,男,藏族,01/12/1955,青海省,海南藏族自治州,贵德县,专科,01/10/1984,在职,,,,,,,,,,,,,,,,,
1682,索南东智,男,汉族,01/01/1962,青海省,海东地区,化隆县,本科,01/05/1985,在职,,,,,,,,,,,,,,,,,
1683,邓本太,男,藏族,01/12/1956,青海省,海南藏族自治州,共和县,本科,01/07/1980,在职,,,,,,,,,,,,,,,,,
1684,郎国清,男,,,,,,,,在职,,,,,,,,,,,,,,,,,
1685,蔡德贵,男,汉族,01/05/1956,青海省,西宁市,大通县,硕士,,在职,,,,,,,,,,,,,,,,,
1686,林亚松,男,汉族,01/12/1959,,,,硕士,01/06/1981,在职,,,,,,,,,,,,,,,,,
1687,更阳,男,藏族,,,,,,,退休,,,,,,,,,,,,,,,,,
1688,桑杰加,男,藏族,01/11/1957,青海省,海北藏族自治州,海晏县,不详,01/02/1972,退休,,,,,,,,,,,,,,,,,
1689,才让本,男,藏族,,,,,,,退休,,,,,,,,,,,,,,,,,
1690,南杰,男,藏族,01/12/1954,青海省,果洛藏族自治州,久治县,本科,01/10/1979,在职,,,,,,,,,,,,,,,,,
1691,白加扎西,男,藏族,01/01/1964,青海省,玉树藏族自治州,囊谦县,,01/10/1985,在职,,,,,,,,,,,,,,,,,
1692,王晓勇,男,汉族,01/05/1957,陕西省,西安市,蓝田县,硕士,01/09/1978,在职,,,,,,,,,,,,,,,,,
1693,贾应忠,男,汉族,01/01/1965,青海省,西宁市,湟源县,硕士,01/10/1984,在职,,,,,,,,,,,,,,,,,
1694,文国栋,男,汉族,01/08/1969,青海省,西宁市,湟中县,硕士,01/08/1995,在职,,,,,,,,,,,,,,,,,
1695,罗松达哇,男,藏族,01/01/1956,青海省,玉树藏族自治州,称多县,硕士,,在职,,,,,,,,,,,,,,,,,
1696,王玉虎,男,藏族,01/05/1962,青海省,玉树藏族自治州,囊谦县,本科,,在职,,,,,,,,,,,,,,,,,
1697,李鹏新,男,汉族,01/12/1960,山西省,忻州市,神池县,硕士,01/09/1984,在职,,,,,,,,,,,,,,,,,
1698,罗朝阳,男,汉族,01/10/1955,四川省,眉山市,洪雅县,本科,01/09/1995,在职,,,,,,,,,,,,,,,,,
1699,辛国斌,男,汉族,01/12/1965,黑龙江省,哈尔滨市,方正县,硕士,01/01/1985,在职,,,,,,,,,,,,,,,,,
1700,张守成,男,蒙古族,01/06/1957,青海省,海北藏族自治州,门源回族自治县,硕士,01/03/1984,在职,,,,,,,,,,,,,,,,,
1701,诺卫星,男,蒙古族,01/01/1960,青海省,海西蒙古族藏族自治州,都兰县,本科,01/03/1984,在职,,,,,,,,,,,,,,,,,
1702,宋秀岩,女,汉族,01/10/1955,天津市,,,硕士,01/11/1978,在职,,,,,,,,,,,,,,,,,
1703,万庆良,男,汉族,01/02/1964,广东省,梅州市,五华县,博士,01/11/1986,立案查处,,是,贪污腐败,,否,27/06/2014,中纪委,是,受贿罪,人民币1.1亿,30/09/2016,广西省,南宁市,无期徒刑,否,,
1704,张广宁,男,汉族,01/08/1953,山东省,滨州市,惠民县,硕士,01/11/1973,在职,,,,,,,,,,,,,,,,,
1705,朱小丹,男,汉族,01/01/1953,浙江省,温州市,,硕士,01/12/1975,在职,,,,,,,,,,,,,,,,,
1706,林树森,男,汉族,01/12/1946,广东省,汕头市,,本科,01/12/1981,在职,,,,,,,,,,,,,,,,,
1707,陈建华(广东省),男,汉族,01/03/1956,广东省,汕尾市,陆丰市,硕士,01/06/1982,在职,,,,,,,,,,,,,,,,,
1708,刘玉浦,男,汉族,01/08/1949,山东省,泰安市,,硕士,01/10/1971,退休,,,,,,,,,,,,,,,,,
1709,黄丽满,女,汉族,01/02/1945,辽宁省,营口市,盖县,本科,01/04/1964,退休,,,,,,,,,,,,,,,,,
1710,许勤,男,汉族,01/10/1961,江苏省,连云港市,,博士,01/01/1982,在职,,,,,,,,,,,,,,,,,
1711,许宗衡,男,汉族,01/07/1955,湖南省,湘潭市,,硕士,01/11/1973,立案查处,,是,贪污腐败,,否,05/06/2009,中纪委,是,受贿罪,人民币3318万余元,09/05/2011,河南省,郑州市,死缓,否,,
1712,李嘉,男,汉族,01/09/1964,湖南省,岳阳市,湘阴县,博士,01/05/1985,立案查处,,是,贪污腐败,,否,23/03/2016,中纪委,,,,,,,,,,
1713,甘霖,男,汉族,01/07/1963,湖北省,,天门市,博士,01/08/1984,在职,,,,,,,,,,,,,,,,,
1714,邓维龙,男,汉族,01/08/1950,广东省,茂名市,高州市,硕士,01/07/1972,在职,,,,,,,,,,,,,,,,,
1715,方旋,男,汉族,01/10/1954,广东省,揭阳市,惠来县,博士,01/06/1982,退休,,,,,,,,,,,,,,,,,
1716,何宁卡,男,汉族,01/06/1959,湖南省,岳阳市,平江县,博士,01/12/1986,在职,,,,,,,,,,,,,,,,,
1717,钟世坚,男,汉族,01/05/1956,广东省,茂名市,电白区,博士,01/12/1975,立案查处,,是,贪污腐败,,否,01/04/2015,中纪委,,,,,,,,,,
1718,王顺生,男,汉族,01/03/1949,河北省,邢台市,南宫市,本科,01/08/1974,退休,,,,,,,,,,,,,,,,,
1719,陈茂辉,男,汉族,01/10/1961,广东省,韶关市,翁源县,硕士,01/04/1983,在职,,,,,,,,,,,,,,,,,
1720,李锋,男,汉族,01/04/1959,福建省,龙岩市,古田县,本科,01/01/1978,在职,,,,,,,,,,,,,,,,,
1721,黄志光,男,汉族,01/08/1954,广东省,汕尾市,海风县,硕士,01/03/1973,立案查处,,是,贪污腐败,,否,25/02/2011,广东省纪委,是,受贿罪、非法持有枪支罪,人民币272万,01/12/2013,广东省,广州市,14年有期徒刑,否,01/11/2014,15年有期徒刑
1722,林木声,男,汉族,01/04/1956,广东省,汕头市,,硕士,01/05/1974,在职,,,,,,,,,,,,,,,,,
1723,李统书,男,汉族,01/06/1946,广东省,揭阳市,普宁市,专科,01/10/1965,退休,,,,,,,,,,,,,,,,,
1724,郑人豪,男,汉族,01/06/1968,广东省,汕头市,,博士,01/12/1988,在职,,,,,,,,,,,,,,,,,
1725,蔡宗泽,男,汉族,01/12/1951,广东省,汕头市,潮阳县,本科,01/10/1976,在职,,,,,,,,,,,,,,,,,
1726,李春洪,男,汉族,01/04/1955,河南省,商丘市,睢县,硕士,01/11/1983,在职,,,,,,,,,,,,,,,,,
1727,郑振涛,男,汉族,01/11/1962,广东省,汕尾市,陆丰市,博士,01/04/1984,在职,,,,,,,,,,,,,,,,,
1728,徐建华,男,汉族,01/09/1958,江西省,景德镇市,乐平市,本科,01/07/1985,在职,,,,,,,,,,,,,,,,,
1729,覃卫东,男,汉族,01/02/1952,广东省,清远市,,硕士,01/12/1972,在职,,,,,,,,,,,,,,,,,
1730,艾学峰,男,汉族,01/08/1965,湖北省,孝感市,安陆市,硕士,01/12/1984,在职,,,,,,,,,,,,,,,,,
1731,李贻伟,男,汉族,01/11/1965,山东省,聊城市,阳谷县,博士,01/06/1988,在职,,,,,,,,,,,,,,,,,
1732,陈云贤,男,汉族,01/10/1955,福建省,龙岩市,上杭县,博士,01/01/1975,在职,,,,,,,,,,,,,,,,,
1733,林元和,男,汉族,01/11/1950,福建省,莆田市,,硕士,01/12/1981,退休,,,,,,,,,,,,,,,,,
1734,黄龙云,男,汉族,01/11/1951,广东省,梅州市,梅县,硕士,01/05/1970,在职,,,,,,,,,,,,,,,,,
1735,刘悦伦,男,汉族,01/05/1957,湖南省,株洲市,攸县,博士,01/12/1975,在职,,,,,,,,,,,,,,,,,
1736,刘海,男,汉族,01/08/1955,广东省,江门市,台山市,专科,01/11/1975,在职,,,,,,,,,,,,,,,,,
1737,陈继兴,男,汉族,01/08/1954,广东省,广州市,增城县,本科,01/12/1974,在职,,,,,,,,,,,,,,,,,
1738,蒋进,男,汉族,01/05/1948,江苏省,无锡市,,专科,01/09/1973,退休,,,,,,,,,,,,,,,,,
1739,庞国梅,女,汉族,01/10/1967,广东省,湛江市,,硕士,01/06/1985,在职,,,,,,,,,,,,,,,,,
1740,王南健,男,汉族,01/08/1955,内蒙古自治区,赤峰市,,硕士,01/06/1975,在职,,,,,,,,,,,,,,,,,
1741,刘小华,男,汉族,01/12/1959,广东省,梅州市,兴宁市,硕士,01/02/1985,死亡,,,,,,,,,,,,,,,,,
1742,陈耀光,男,汉族,01/09/1953,广东省,江门市,新会区,专科,01/05/1979,在职,,,,,,,,,,,,,,,,,
1743,徐少华,男,汉族,01/01/1958,广东省,广州市,番禺区,硕士,01/03/1984,在职,,,,,,,,,,,,,,,,,
1744,王中丙,男,汉族,01/09/1963,湖北省,,仙桃市,博士,01/09/1985,在职,,,,,,,,,,,,,,,,,
1745,阮日生,男,汉族,01/06/1954,广东省,茂名市,高州市,专科,01/11/1974,在职,,,,,,,,,,,,,,,,,
1746,黄华华,男,汉族,01/10/1946,广东省,梅州市,兴宁市,硕士,01/06/1971,在职,,,,,,,,,,,,,,,,,
1747,欧广源,男,汉族,01/02/1948,广东省,佛山市,顺德区,专科,01/05/1969,在职,,,,,,,,,,,,,,,,,
1748,蔡东士,男,汉族,01/02/1947,广东省,汕头市,潮阳县,本科,01/09/1975,退休,,,,,,,,,,,,,,,,,
1749,朱明国,男,黎族,01/05/1957,海南省,,五指山市,硕士,01/10/1975,立案查处,,是,贪污腐败,,否,28/11/2014,中纪委,是,受贿罪、巨额财产来源不明罪,受贿罪人民币14100万元，巨额财产来源不明罪人民币9104万元,25/05/2016,广西壮族自治区,柳州市,死缓,否,,
1750,马兴瑞,男,汉族,01/10/1959,山东省,菏泽市,郓城县,博士,01/01/1988,在职,,,,,,,,,,,,,,,,,
1751,胡泽君,女,汉族,01/03/1955,四川省,重庆市（直辖前）,,硕士,01/02/1976,在职,,,,,,,,,,,,,,,,,
1752,钟阳胜,男,汉族,01/08/1948,广东省,河源市,龙川县,博士,01/06/1970,退休,,,,,,,,,,,,,,,,,
1753,林雄,男,汉族,01/05/1959,海南省,,临高县,硕士,01/11/1983,在职,,,,,,,,,,,,,,,,,
1754,陈奕威,男,汉族,01/04/1962,广东省,潮州市,潮安县,硕士,01/09/1984,在职,,,,,,,,,,,,,,,,,
1755,黄业斌,男,汉族,01/09/1957,广东省,阳江市,,硕士,01/09/1975,在职,,,,,,,,,,,,,,,,,
1756,柳锦州,男,汉族,01/10/1948,广东省,汕头市,潮阳市,硕士,01/11/1974,退休,,,,,,,,,,,,,,,,,
1757,肖志恒,男,汉族,01/01/1953,湖南省,娄底市,新化县,硕士,01/01/1970,在职,,,,,,,,,,,,,,,,,
1758,谭璋球,男,汉族,01/05/1947,广东省,江门市,新会县,本科,01/12/1974,退休,,,,,,,,,,,,,,,,,
1759,麦教猛,男,汉族,01/06/1966,广东省,湛江市,雷州县,硕士,01/12/1986,在职,,,,,,,,,,,,,,,,,
1760,李汝求,男,汉族,01/05/1954,广东省,东莞市,,硕士,01/03/1975,在职,,,,,,,,,,,,,,,,,
1761,朱泽君,男,汉族,01/04/1963,广东省,茂名市,,博士,01/01/1986,立案查处,,是,贪污腐败,,否,17/08/2015,广东省纪委,,,,,,,,,,
1762,刘日知,男,汉族,01/09/1958,广东省,河源市,连平县,硕士,01/12/1982,在职,,,,,,,,,,,,,,,,,
1763,谭君铁,男,汉族,01/01/1968,广东省,阳江市,阳东县,硕士,01/04/1988,在职,,,,,,,,,,,,,,,,,
1764,何正拔,男,汉族,01/09/1946,广东省,梅州市,梅县区,硕士,01/06/1975,退休,,,,,,,,,,,,,,,,,
1765,魏潘尧,男,汉族,01/10/1943,广东省,梅州市,五华县,专科,01/08/1964,退休,,,,,,,,,,,,,,,,,
1766,温国辉,男,汉族,01/10/1963,广东省,揭阳市,揭西县,硕士,01/06/1984,在职,,,,,,,,,,,,,,,,,
1767,郑雁雄,男,汉族,01/08/1963,广东省,汕头市,,硕士,01/05/1986,在职,,,,,,,,,,,,,,,,,
1768,戎铁文,男,汉族,01/10/1952,广东省,揭阳市,惠来县,专科,01/07/1972,在职,,,,,,,,,,,,,,,,,
1769,吴紫骊,男,汉族,01/06/1962,广东省,潮州市,潮安县,硕士,01/05/1984,在职,,,,,,,,,,,,,,,,,
1770,徐尚武,男,汉族,01/12/1951,山西省,长治市,,硕士,01/06/1970,在职,,,,,,,,,,,,,,,,,
1771,何忠友,男,汉族,01/11/1965,安徽省,芜湖市,无为县,硕士,01/06/1993,在职,,,,,,,,,,,,,,,,,
1772,梁伟发,男,汉族,01/09/1952,广东省,云浮市,罗定市,硕士,01/12/1975,在职,,,,,,,,,,,,,,,,,
1773,杨华维,男,汉族,01/08/1948,广东省,河源市,龙川县,硕士,01/09/1973,退休,,,,,,,,,,,,,,,,,
1774,彭建文,男,汉族,01/10/1966,广东省,中山市,,硕士,01/01/1986,在职,,,,,,,,,,,,,,,,,
1775,吴锐成,男,汉族,01/11/1954,广东省,中山市,,专科,01/01/1975,在职,,,,,,,,,,,,,,,,,
1776,黄煜祯,男,汉族,01/09/1945,广东省,河源市,紫金县,专科,01/09/1968,退休,,,,,,,,,,,,,,,,,
1777,魏宏广,男,汉族,01/10/1961,广东省,中山市,,硕士,01/03/1984,在职,,,,,,,,,,,,,,,,,
1778,林少春,男,汉族,01/05/1962,广东省,潮州市,潮阳市,硕士,01/02/1988,在职,,,,,,,,,,,,,,,,,
1779,陈小川,女,汉族,01/03/1954,广东省,湛江市,雷州半岛遂溪县,硕士,01/01/1973,在职,,,,,,,,,,,,,,,,,
1780,林华景,男,汉族,01/11/1948,广东省,湛江市,吴川市,本科,01/04/1972,退休,,,,,,,,,,,,,,,,,
1781,丘志勇,男,汉族,01/11/1958,广西壮族自治区,玉林市,陆川县,硕士,01/02/1978,在职,,,,,,,,,,,,,,,,,
1782,江泓,男,汉族,01/04/1955,广东省,揭阳市,,硕士,01/09/1975,在职,,,,,,,,,,,,,,,,,
1783,葛长伟,男,汉族,01/07/1965,安徽省,淮北市,,本科,01/12/1984,在职,,,,,,,,,,,,,,,,,
1784,陈家记,男,汉族,01/08/1954,广东省,湛江市,廉江县,硕士,01/06/1976,立案查处,,是,贪污腐败,,否,08/04/2016,广东省纪委,,,,,,,,,,
1785,陈用志,男,汉族,01/08/1950,广东省,佛山市,顺德县,专科,01/04/1974,在职,,,,,,,,,,,,,,,,,
1786,江凌,男,汉族,01/09/1964,广东省,河源市,紫金县,硕士,01/06/1986,在职,,,,,,,,,,,,,,,,,
1787,刘志庚,男,汉族,01/06/1956,广东省,梅州市,兴宁县,博士,01/02/1985,立案查处,,是,贪污腐败,,否,04/02/2016,中纪委,是,受贿罪,人民币9817万元,24/02/2017,广西壮族自治区,南宁市,无期徒刑,否,,
1788,李近维,男,汉族,01/11/1944,广东省,东莞市,,,01/04/1966,退休,,,,,,,,,,,,,,,,,
1789,袁宝成,男,汉族,01/12/1964,浙江省,绍兴市,诸暨市,硕士,01/11/1985,在职,,,,,,,,,,,,,,,,,
1790,李毓全,男,汉族,01/10/1953,广东省,东莞市,长安县,专科,01/03/1975,在职,,,,,,,,,,,,,,,,,
1791,薛晓峰,男,汉族,01/06/1961,山西省,吕梁市,汾阳市,博士,01/11/1991,在职,,,,,,,,,,,,,,,,,
1792,陈根楷,男,汉族,01/12/1950,广东省,中山市,,专科,01/01/1976,退休,,,,,,,,,,,,,,,,,
1793,崔国潮,男,汉族,01/05/1954,广东省,中山市,,高中,01/08/1974,在职,,,,,,,,,,,,,,,,,
1794,陈良贤,男,汉族,01/09/1963,广东省,揭阳市,惠来县,硕士,01/06/1985,在职,,,,,,,,,,,,,,,,,
1795,李启红,女,汉族,01/04/1954,广东省,中山市,,硕士,01/08/1974,立案查处,,是,贪污腐败,,否,31/05/2010,广东省纪委,是,内幕交易罪、泄露内幕信息罪、受贿罪,受贿港币40万元、人民币10万元，利用内幕信息炒股，账面收益1983万余元,27/10/2011,广东省,广州市,11年有期徒刑,否,,
1796,许光,男,汉族,01/01/1960,广东省,汕头市,,硕士,01/01/1990,在职,,,,,,,,,,,,,,,,,
1797,骆文智,男,汉族,01/08/1960,广东省,佛山市,,硕士,01/07/1985,在职,,,,,,,,,,,,,,,,,
1798,陈冰,男,汉族,01/03/1947,广东省,汕头市,海丰县,专科,01/06/1973,退休,,,,,,,,,,,,,,,,,
1799,李庆雄,男,汉族,01/02/1960,广东省,汕尾市,城区,硕士,01/08/1986,在职,,,,,,,,,,,,,,,,,
1800,汤锡坤,男,汉族,01/10/1954,广东省,潮州市,饶平县,硕士,01/01/1974,立案查处,,是,贪污腐败,,否,29/10/2015,广东省纪委,,,,,,,,,,
1801,陈绿平,男,汉族,01/09/1963,广东省,汕头市,,博士,01/10/1986,在职,,,,,,,,,,,,,,,,,
1802,陈弘平,男,汉族,01/09/1954,广东省,揭阳市,,硕士,01/06/1976,立案查处,,是,贪污腐败,,否,01/11/2012,广东省纪委,是,,,,,,,,,
1803,李本钧,男,汉族,01/06/1952,广东省,江门市,台山市,博士,01/06/1971,在职,,,,,,,,,,,,,,,,,
1804,陈东,男,汉族,01/04/1970,广东省,湛江市,遂溪县,硕士,01/07/1989,在职,,,,,,,,,,,,,,,,,
1805,唐豪,男,汉族,01/10/1953,广东省,茂名市,化州市,硕士,01/03/1976,在职,,,,,,,,,,,,,,,,,
1806,黄强,男,汉族,01/02/1961,广东省,湛江市,廉江县,博士,01/10/1985,在职,,,,,,,,,,,,,,,,,
1807,郑利平,男,汉族,01/09/1961,广东省,揭阳市,,博士,01/09/1989,退休,,,,,,,,,,,,,,,,,
1808,卓志强,男,汉族,01/10/1962,广东省,梅州市,五华县,硕士,01/12/1985,在职,,,,,,,,,,,,,,,,,
1809,欧真志,男,汉族,01/10/1954,广东省,湛江市,遂溪县,硕士,01/10/1982,在职,,,,,,,,,,,,,,,,,
1810,庹震,男,汉族,01/09/1959,河南省,南阳市,方城县,本科,01/06/1982,在职,,,,,,,,,,,,,,,,,
1811,梁国聚,男,汉族,01/10/1947,河北省,保定市,博野县,专科,01/08/1973,退休,,,,,,,,,,,,,,,,,
1812,金巨保,男,汉族,01/08/1944,安徽省,六安市,寿县,硕士,,退休,,,,,,,,,,,,,,,,,
1813,毕小彬,男,汉族,01/03/1966,安徽省,安庆市,怀宁县,硕士,01/07/1986,在职,,,,,,,,,,,,,,,,,
1814,张韶春,男,汉族,01/08/1963,安徽省,合肥市,庐江县,硕士,01/07/1986,在职,,,,,,,,,,,,,,,,,
1815,叶成文,男,,,,,,,不详,退休,,,,,,,,,,,,,,,,,
1816,汤林祥,男,汉族,01/07/1954,安徽省,安庆市,望江县,本科,01/02/1973,在职,,,,,,,,,,,,,,,,,
1817,倪发科,男,汉族,01/01/1954,江苏省,南京市,溧水县,硕士,01/01/1973,立案查处,,是,贪污腐败,,否,04/06/2013,中纪委,是,受贿罪、巨额财产来源不明罪,受贿1700万人民币、580万元人民币不能说明来源,15/12/2014,山东省,东营市,17年有期徒刑,否,,
1818,洪文虎,男,,,,,,,不详,退休,,,,,,,,,,,,,,,,,
1819,罗兆好,男,汉族,01/04/1964,安徽省,马鞍山市,含山县,硕士,01/07/1987,在职,,,,,,,,,,,,,,,,,
1820,张飞飞,男,汉族,01/05/1959,安徽省,亳州市,利辛县,硕士,01/09/1985,在职,,,,,,,,,,,,,,,,,
1821,李武好,男,汉族,01/06/1968,安徽省,安庆市,枞阳县,博士,不详,在职,,,,,,,,,,,,,,,,,
1822,余忠勇,男,汉族,01/09/1963,安徽省,合肥市,,本科,不详,在职,,,,,,,,,,,,,,,,,
1823,夏望平,男,汉族,01/02/1951,安徽省,宣城市,宣城县,本科,01/12/1975,退休,,,,,,,,,,,,,,,,,
1824,史翔,男,汉族,01/11/1963,安徽省,宣城市,广德县,硕士,01/08/1989,在职,,,,,,,,,,,,,,,,,
1825,吴旭军,男,汉族,01/07/1955,安徽省,安庆市,桐城县,本科,不详,在职,,,,,,,,,,,,,,,,,
1826,张曙光,男,汉族,01/09/1966,安徽省,亳州市,涡阳县,博士,01/06/1985,在职,,,,,,,,,,,,,,,,,
1827,唐承沛,男,汉族,01/09/1964,安徽省,安庆市,桐城县,博士,01/02/1985,在职,,,,,,,,,,,,,,,,,
1828,李平(安徽省),男,汉族,01/06/1962,安徽省,安庆市,潜山县,硕士,01/04/1984,在职,,,,,,,,,,,,,,,,,
1829,孙云飞,男,汉族,01/11/1962,安徽省,滁州市,明光县,本科,01/03/1986,在职,,,,,,,,,,,,,,,,,
1830,于勇,男,汉族,01/05/1960,安徽省,亳州市,涡阳县,本科,01/06/1981,在职,,,,,,,,,,,,,,,,,
1831,胡连松,男,汉族,01/10/1953,安徽省,安庆市,桐城县,本科,01/04/1976,在职,,,,,,,,,,,,,,,,,
1832,张祥安,男,汉族,01/10/1964,安徽省,马鞍山市,和县,硕士,01/07/1984,在职,,,,,,,,,,,,,,,,,
1833,缪学刚,男,汉族,01/03/1962,河南省,,固始县,本科,01/03/1991,在职,,,,,,,,,,,,,,,,,
1834,宋卫平,男,汉族,01/12/1954,江苏省,宿迁市,沭阳县,本科,01/05/1973,在职,,,,,,,,,,,,,,,,,
1835,江山,男,汉族,01/09/1962,安徽省,黄山市,歙县,本科,,立案查处,,是,贪污腐败,,否,11/04/2014,安徽省纪委,是,,,,,,,,,
1836,汪国才,男,汉族,01/01/1952,安徽省,安庆市,望江县,硕士,01/01/1973,在职,,,,,,,,,,,,,,,,,
1837,任泽锋,男,汉族,01/10/1966,内蒙古自治区,乌兰察布市,察哈尔右翼中旗,本科,01/06/1986,在职,,,,,,,,,,,,,,,,,
1838,陈强(安徽省),男,汉族,01/10/1956,安徽省,芜湖市,宁国县,硕士,01/03/1976,在职,,,,,,,,,,,,,,,,,
1839,李宏鸣,男,汉族,01/09/1957,河北省,邢台市,巨鹿县,硕士,01/08/1976,在职,,,,,,,,,,,,,,,,,
1840,饶益刚,男,汉族,01/12/1947,安徽省,阜阳市,界首市,硕士,,退休,,,,,,,,,,,,,,,,,
1841,王福宏,男,汉族,01/12/1955,山东省,烟台市,黄县,硕士,01/07/1975,在职,,,,,,,,,,,,,,,,,
1842,王启敏,男,汉族,01/11/1954,安徽省,六安市,,硕士,01/05/1975,在职,,,,,,,,,,,,,,,,,
1843,臧世凯,男,汉族,01/09/1952,安徽省,六安市,霍邱县,本科,01/04/1976,在职,,,,,,,,,,,,,,,,,
1844,魏晓明,男,汉族,01/12/1964,山西省,长治市,武乡县,本科,01/03/1998,在职,,,,,,,,,,,,,,,,,
1845,陈履祥,男,,,,,,,不详,退休,,,,,,,,,,,,,,,,,
1846,虞爱华,男,汉族,01/09/1965,安徽省,滁州市,天长县,硕士,01/10/1988,在职,,,,,,,,,,,,,,,,,
1847,朱读稳,男,汉族,01/07/1957,安徽省,六安市,舒城县,硕士,01/11/1975,在职,,,,,,,,,,,,,,,,,
1848,韩先聪,男,汉族,01/11/1955,安徽省,合肥市,肥西县,硕士,01/07/1984,立案查处,,是,贪污腐败,,否,12/07/2014,中纪委,是,受贿罪、滥用职权罪,人民币2328万元,19/05/2016,福建省,南平市,16年有期徒刑,否,,
1849,赵树丛,男,汉族,01/03/1955,山东省,潍坊市,诸城市,硕士,01/07/1973,在职,,,,,,,,,,,,,,,,,
1850,侯淅珉,男,汉族,01/07/1964,河南省,安阳市,淅川县,硕士,01/04/1998,在职,,,,,,,,,,,,,,,,,
1851,李明,男,汉族,01/02/1958,安徽省,合肥市,肥西县,本科,01/10/1984,在职,,,,,,,,,,,,,,,,,
1852,宋国权,男,汉族,01/03/1960,安徽省,阜阳市,太和县,本科,01/12/1985,在职,,,,,,,,,,,,,,,,,
1853,沈素琍,女,汉族,01/05/1958,江苏省,淮安市,涟水县,硕士,01/08/1979,在职,,,,,,,,,,,,,,,,,
1854,陈松林,男,汉族,01/11/1951,安徽省,安庆市,望江县,不详,不详,退休,,,,,,,,,,,,,,,,,
1855,黄晓武,男,汉族,01/02/1965,安徽省,安庆市,怀宁县,硕士,01/06/1986,在职,,,,,,,,,,,,,,,,,
1856,牛弩韬,男,汉族,01/09/1962,安徽省,芜湖市,无为县,硕士,01/06/1985,在职,,,,,,,,,,,,,,,,,
1857,许崇信,男,汉族,01/07/1956,山东省,济宁市,微山县,本科,不详,在职,,,,,,,,,,,,,,,,,
1858,梅劲,男,汉族,01/10/1955,安徽省,巢湖市,,本科,01/07/1975,在职,,,,,,,,,,,,,,,,,
1859,李忠金,男,汉族,01/11/1947,山东省,枣庄市,,本科,01/07/1966,退休,,,,,,,,,,,,,,,,,
1860,肖超英,女,汉族,01/06/1958,安徽省,芜湖市,,硕士,01/04/1984,在职,,,,,,,,,,,,,,,,,
1861,陈德胜,男,,,,,,,,退休,,,,,,,,,,,,,,,,,
1862,王邦杰,男,汉族,01/11/1946,山东省,临沂市,平邑县,硕士,,退休,,,,,,,,,,,,,,,,,
1863,魏尧,男,汉族,01/12/1963,安徽省,巢湖市,,硕士,01/06/1994,在职,,,,,,,,,,,,,,,,,
1864,姚玉舟,男,汉族,01/03/1960,安徽省,安庆市,枞阳县,博士,01/09/1987,在职,,,,,,,,,,,,,,,,,
1865,张晓麟,男,汉族,01/11/1961,安徽省,安庆市,宿松县,硕士,01/12/1986,在职,,,,,,,,,,,,,,,,,
1866,郑为文,男,汉族,01/03/1958,安徽省,黄山市,歙县,本科,01/11/1985,在职,,,,,,,,,,,,,,,,,
1867,丁海中,男,汉族,01/04/1951,江苏省,宿迁市,,本科,01/06/1975,退休,,,,,,,,,,,,,,,,,
1868,郑牧民,男,汉族,01/05/1951,安徽省,滁州市,凤阳县,硕士,01/12/1973,在职,,,,,,,,,,,,,,,,,
1869,王宏(安徽省),女,汉族,01/02/1970,安徽省,马鞍山市,当涂县,硕士,01/06/1995,在职,,,,,,,,,,,,,,,,,
1870,曹勇,男,汉族,01/02/1965,安徽省,六安市,舒城县,硕士,01/11/1995,立案查处,,是,贪污腐败,,否,21/11/2014,安徽省纪委,是,受贿罪、滥用职权罪,人民币2147万元,21/06/2016,安徽省,滁州市,9.5年有期徒刑,否,,
1871,刘健,男,汉族,01/12/1955,江苏省,徐州市,铜山区,硕士,01/09/1978,退休,,,,,,,,,,,,,,,,,
1872,朱季历,男,汉族,01/04/1949,贵州省,黔南布依族苗族自治州,瓮安县,本科,,退休,,,,,,,,,,,,,,,,,
1873,方西屏,男,汉族,01/10/1958,江苏省,南京市,,硕士,01/08/1982,立案查处,,是,贪污腐败,,否,11/08/2014,安徽省纪委,是,受贿罪、滥用职权罪,人民币3174万元,17/12/2015,安徽省,马鞍山市,12.5年有期徒刑,否,,
1874,杨振超,男,汉族,01/08/1960,安徽省,六安市,金寨县,硕士,01/12/1983,立案查处,,是,贪污腐败,,否,24/05/2016,中纪委,是,受贿罪、贪污罪、滥用职权罪,受贿罪人民币8085万元，贪污罪人民币115万元,28/02/2017,上海市,长宁区,无期徒刑,否,,
1875,陈世礼,男,汉族,01/11/1951,安徽省,马鞍山市,,硕士,01/10/1972,立案查处,,是,贪污腐败,,否,27/07/2007,安徽省纪委,是,受贿罪,人民币520余万元、美元1万元及价值114万余元的房产、轿车、电脑等物品,08/12/2008,安徽省,阜阳市,死缓,是,05/06/2009,维持原判
1876,白金明,男,满族,01/02/1963,辽宁省,抚顺市,,博士,01/12/1984,在职,,,,,,,,,,,,,,,,,
1877,张学群,男,汉族,01/10/1957,安徽省,阜阳市,阜南县,本科,01/10/1974,在职,,,,,,,,,,,,,,,,,
