编码,名称,上级编码,上级名称,起始日期,终止日期,别名编码,别名名称,级别
130404,复兴区,130400,邯郸市,31/12/2002,31/08/2013,130404,复兴区,区县
130406,峰峰矿区,130400,邯郸市,31/12/2002,31/08/2013,130406,峰峰矿区,区县
130421,邯郸县,130400,邯郸市,31/12/2002,31/08/2013,130421,邯郸县,区县
130423,临漳县,130400,邯郸市,31/12/2002,31/08/2013,130423,临漳县,区县
130424,成安县,130400,邯郸市,31/12/2002,31/08/2013,130424,成安县,区县
130425,大名县,130400,邯郸市,31/12/2002,31/08/2013,130425,大名县,区县
130426,涉县,130400,邯郸市,31/12/2002,31/08/2013,130426,涉县,区县
130427,磁县,130400,邯郸市,31/12/2002,31/08/2013,130427,磁县,区县
130428,肥乡县,130400,邯郸市,31/12/2002,31/08/2013,130428,肥乡县,区县
130429,永年县,130400,邯郸市,31/12/2002,31/08/2013,130429,永年县,区县
130430,邱县,130400,邯郸市,31/12/2002,31/08/2013,130430,邱县,区县
130431,鸡泽县,130400,邯郸市,31/12/2002,31/08/2013,130431,鸡泽县,区县
130432,广平县,130400,邯郸市,31/12/2002,31/08/2013,130432,广平县,区县
130433,馆陶县,130400,邯郸市,31/12/2002,31/08/2013,130433,馆陶县,区县
130434,魏县,130400,邯郸市,31/12/2002,31/08/2013,130434,魏县,区县
130435,曲周县,130400,邯郸市,31/12/2002,31/08/2013,130435,曲周县,区县
130481,武安市,130400,邯郸市,31/12/2002,31/08/2013,130481,武安市,区县
130500,邢台市,130000,河北省,31/12/2002,31/08/2013,130500,邢台市,地级市（区）
130502,桥东区,130500,邢台市,31/12/2002,31/08/2013,130502,桥东区,区县
130503,桥西区,130500,邢台市,31/12/2002,31/08/2013,130503,桥西区,区县
130521,邢台县,130500,邢台市,31/12/2002,31/08/2013,130521,邢台县,区县
130522,临城县,130500,邢台市,31/12/2002,31/08/2013,130522,临城县,区县
130523,内丘县,130500,邢台市,31/12/2002,31/08/2013,130523,内丘县,区县
130524,柏乡县,130500,邢台市,31/12/2002,31/08/2013,130524,柏乡县,区县
130525,隆尧县,130500,邢台市,31/12/2002,31/08/2013,130525,隆尧县,区县
130526,任县,130500,邢台市,31/12/2002,31/08/2013,130526,任县,区县
130527,南和县,130500,邢台市,31/12/2002,31/08/2013,130527,南和县,区县
130528,宁晋县,130500,邢台市,31/12/2002,31/08/2013,130528,宁晋县,区县
130529,巨鹿县,130500,邢台市,31/12/2002,31/08/2013,130529,巨鹿县,区县
130530,新河县,130500,邢台市,31/12/2002,31/08/2013,130530,新河县,区县
130531,广宗县,130500,邢台市,31/12/2002,31/08/2013,130531,广宗县,区县
130532,平乡县,130500,邢台市,31/12/2002,31/08/2013,130532,平乡县,区县
130533,威县,130500,邢台市,31/12/2002,31/08/2013,130533,威县,区县
130534,清河县,130500,邢台市,31/12/2002,31/08/2013,130534,清河县,区县
130535,临西县,130500,邢台市,31/12/2002,31/08/2013,130535,临西县,区县
130581,南宫市,130500,邢台市,31/12/2002,31/08/2013,130581,南宫市,区县
130582,沙河市,130500,邢台市,31/12/2002,31/08/2013,130582,沙河市,区县
130600,保定市,130000,河北省,31/12/2002,31/08/2013,130600,保定市,地级市（区）
130602,新市区,130600,保定市,31/12/2002,31/08/2013,130602,新市区,区县
130603,北市区,130600,保定市,31/12/2002,31/08/2013,130603,北市区,区县
130604,南市区,130600,保定市,31/12/2002,31/08/2013,130604,南市区,区县
130621,满城县,130600,保定市,31/12/2002,31/08/2013,130621,满城县,区县
130622,清苑县,130600,保定市,31/12/2002,31/08/2013,130622,清苑县,区县
130623,涞水县,130600,保定市,31/12/2002,31/08/2013,130623,涞水县,区县
130624,阜平县,130600,保定市,31/12/2002,31/08/2013,130624,阜平县,区县
130625,徐水县,130600,保定市,31/12/2002,31/08/2013,130625,徐水县,区县
130626,定兴县,130600,保定市,31/12/2002,31/08/2013,130626,定兴县,区县
130627,唐县,130600,保定市,31/12/2002,31/08/2013,130627,唐县,区县
130628,高阳县,130600,保定市,31/12/2002,31/08/2013,130628,高阳县,区县
130629,容城县,130600,保定市,31/12/2002,31/08/2013,130629,容城县,区县
130630,涞源县,130600,保定市,31/12/2002,31/08/2013,130630,涞源县,区县
130631,望都县,130600,保定市,31/12/2002,31/08/2013,130631,望都县,区县
130632,安新县,130600,保定市,31/12/2002,31/08/2013,130632,安新县,区县
130633,易县,130600,保定市,31/12/2002,31/08/2013,130633,易县,区县
130634,曲阳县,130600,保定市,31/12/2002,31/08/2013,130634,曲阳县,区县
130635,蠡县,130600,保定市,31/12/2002,31/08/2013,130635,蠡县,区县
130636,顺平县,130600,保定市,31/12/2002,31/08/2013,130636,顺平县,区县
130637,博野县,130600,保定市,31/12/2002,31/08/2013,130637,博野县,区县
130638,雄县,130600,保定市,31/12/2002,31/08/2013,130638,雄县,区县
130681,涿州市,130600,保定市,31/12/2002,31/08/2013,130681,涿州市,区县
130682,定州市,130600,保定市,31/12/2002,31/08/2013,130682,定州市,区县
130683,安国市,130600,保定市,31/12/2002,31/08/2013,130683,安国市,区县
130684,高碑店市,130600,保定市,31/12/2002,31/08/2013,130684,高碑店市,区县
130700,张家口市,130000,河北省,31/12/2002,31/08/2013,130700,张家口市,地级市（区）
