编码,名称,归属大类,别名,名称,别名归属大类
5602,济阳县农具厂,地方企业,5602,济阳县农具厂,地方企业
5603,利津县农机厂,地方企业,5603,利津县农机厂,地方企业
5604,烟台粉末冶金厂,地方企业,5604,烟台粉末冶金厂,地方企业
5605,烟台二锁厂,地方企业,5605,烟台二锁厂,地方企业
5606,山东电影机械厂,地方企业,5606,山东电影机械厂,地方企业
5607,济宁合成洗涤剂厂,地方企业,5607,济宁合成洗涤剂厂,地方企业
5608,国营锦河农场,地方企业,5608,国营锦河农场,地方企业
5609,葛店化工厂,地方企业,5609,葛店化工厂,地方企业
6600,总工会,行业协会_人民团体,6600,总工会,行业协会_人民团体
6601,商业联合会,行业协会_人民团体,6601,商业联合会,行业协会_人民团体
6602,物流与采购联合会,行业协会_人民团体,6602,物流与采购联合会,行业协会_人民团体
6603,煤炭工业协会,行业协会_人民团体,6603,煤炭工业协会,行业协会_人民团体
6604,机械工业联合会,行业协会_人民团体,6604,机械工业联合会,行业协会_人民团体
6605,钢铁工业协会,行业协会_人民团体,6605,钢铁工业协会,行业协会_人民团体
6606,石油和化学工业协会  ,行业协会_人民团体,6606,石油和化学工业协会  ,行业协会_人民团体
6607,轻工业联合会（轻工业协会 ）/手工业合作总社,行业协会_人民团体,6607,轻工业联合会（轻工业协会 ）/手工业合作总社,行业协会_人民团体
5834,华鲁控股集团有限公司,地方企业,5834,华鲁控股集团有限公司,地方企业
3918,贫下中农协会（贫协）,基层组织,3918,贫下中农协会（贫协）,基层组织
6608,纺织工业联合会（纺织工业协会）,行业协会_人民团体,6608,纺织工业联合会（纺织工业协会）,行业协会_人民团体
1357,整党办,党委,1421,整党办公室,党委
1355,监委,党委,2608,监察部/厅/局,政府_国务院
7048,解放军725厂,军队,7048,解放军725厂,军队
5648,北京第二汽车制造厂,地方企业,5648,北京第二汽车制造厂,地方企业
5649,北京汽车工业公司,地方企业,5649,北京汽车工业公司,地方企业
5650,北京石油化工总厂,地方企业,5650,北京石油化工总厂,地方企业
5651,北京市饭店联合公司,地方企业,5651,北京市饭店联合公司,地方企业
5652,大同青磁窑矿,地方企业,5652,大同青磁窑矿,地方企业
5653,贵阳市装卸公司,地方企业,5653,贵阳市装卸公司,地方企业
5654,后所煤矿,地方企业,5654,后所煤矿,地方企业
5655,辽宁抚顺铝厂,地方企业,5655,辽宁抚顺铝厂,地方企业
5656,山西国际经济技术合作公司,地方企业,5656,山西国际经济技术合作公司,地方企业
5657,山西省东方建设发展公司,地方企业,5657,山西省东方建设发展公司,地方企业
5658,山西省建材工业公司,地方企业,5658,山西省建材工业公司,地方企业
5659,山西省冶金地质勘探公司,地方企业,5659,山西省冶金地质勘探公司,地方企业
5660,山西专用设备厂,地方企业,5660,山西专用设备厂,地方企业
5661,设计室,地方企业,5661,设计室,地方企业
5662,太原无线电厂,地方企业,5662,太原无线电厂,地方企业
5663,县半导体材料厂,地方企业,5663,县半导体材料厂,地方企业
5664,燕山石油化工总公司,地方企业,5664,燕山石油化工总公司,地方企业
5665,宜昌市三峡制药厂,地方企业,5665,宜昌市三峡制药厂,地方企业
5666,应县农机修造厂,地方企业,5666,应县农机修造厂,地方企业
5667,盂县建材厂,地方企业,5667,盂县建材厂,地方企业
4607,办公室,共青团,4616,办公厅/室（共青团）,共青团
4608,调研室（共青团）,共青团,4608,调研室（共青团）,共青团
4609,机关党委,共青团,2872,机关党工委,政府_国务院
4611,学校部,共青团,4611,学校部,共青团
3534,程家山公社、西仵公社,基层组织,3534,程家山公社、西仵公社,基层组织
3535,翟店公社,基层组织,3536,翟店镇,基层组织
3536,翟店镇,基层组织,3536,翟店镇,基层组织
3537,古城公社,基层组织,3537,古城公社,基层组织
3538,霍邱城西湖军垦农场,基层组织,3538,霍邱城西湖军垦农场,基层组织
3539,警备区独立师农场,基层组织,3539,警备区独立师农场,基层组织
3540,歧道公社,基层组织,3540,歧道公社,基层组织
3541,三交区,基层组织,3541,三交区,基层组织
3542,沙裕公社,基层组织,3542,沙裕公社,基层组织
3543,上王公社,基层组织,3543,上王公社,基层组织
3544,吕梁市铁厂,基层组织,3544,吕梁市铁厂,基层组织
3545,王狮公社,基层组织,3545,王狮公社,基层组织
3546,修善乡,基层组织,3546,修善乡,基层组织
3547,英言乡、新城镇,基层组织,3547,英言乡、新城镇,基层组织
6634,全国供销合作总社,行业协会_人民团体,2669,供销合作社,政府_国务院
6635,山西省青年企业家协会,行业协会_人民团体,6635,山西省青年企业家协会,行业协会_人民团体
2727,城建房管局,政府_国务院,2727,城建房管局,政府_国务院
2728,多种经营领导组,政府_国务院,2728,多种经营领导组,政府_国务院
2729,港务管理局,政府_国务院,2729,港务管理局,政府_国务院
2730,国家安全生产委员会,政府_国务院,2730,国家安全生产委员会,政府_国务院
1427,政工组,党委,1429,政治部,党委
2732,驻天津办事处,政府_国务院,2732,驻天津办事处,政府_国务院
5059,华能集团公司,中央企业,5059,华能集团公司,中央企业
2733,农机局,政府_国务院,2733,农机局,政府_国务院
5668,安康水电厂,地方企业,5668,安康水电厂,地方企业
1358,教工委,党委,1420,教育工作委员会,党委
5669,宝鸡镀锌铅丝厂,地方企业,5669,宝鸡镀锌铅丝厂,地方企业
5670,鹤壁第三煤矿,地方企业,5670,鹤壁第三煤矿,地方企业
5671,华晋焦煤公司,地方企业,5671,华晋焦煤公司,地方企业
5672,华阴黄河工程机械厂,地方企业,5672,华阴黄河工程机械厂,地方企业
5673,黄陵县建筑工程公司,地方企业,5673,黄陵县建筑工程公司,地方企业
5674,陕西火电工程公司,地方企业,5674,陕西火电工程公司,地方企业
5675,陕西省投资集团公司,地方企业,5675,陕西省投资集团公司,地方企业
5676,陕西石油仪器二厂,地方企业,5676,陕西石油仪器二厂,地方企业
5677,石泉水电厂,地方企业,5677,石泉水电厂,地方企业
5678,吴堡水文总站,地方企业,5678,吴堡水文总站,地方企业
5679,西安飞机制造工业公司,地方企业,5679,西安飞机制造工业公司,地方企业
5680,西安高科公司,地方企业,5680,西安高科公司,地方企业
5681,西安市旅游供应公司,地方企业,5681,西安市旅游供应公司,地方企业
5682,西京电气总公司,地方企业,5682,西京电气总公司,地方企业
5683,咸阳无线电厂,地方企业,5683,咸阳无线电厂,地方企业
5684,延安石油工业集团,地方企业,5684,延安石油工业集团,地方企业
5685,岚皋县缫丝厂,地方企业,5685,岚皋县缫丝厂,地方企业
4612,青农部,共青团,4612,青农部,共青团
4613,统战部（共青团）,共青团,4613,统战部（共青团）,共青团
4615,研究部,共青团,4632,研究室（共青团）,共青团
3548,白湾子公社中学,基层组织,3548,白湾子公社中学,基层组织
3549,大王公社,基层组织,3549,大王公社,基层组织
3550,官元区,基层组织,3550,官元区,基层组织
3551,横溪乡,基层组织,3551,横溪乡,基层组织
3552,洪水公社,基层组织,3552,洪水公社,基层组织
3553,红光乡,基层组织,3553,红光乡,基层组织
3554,黄松峪乡,基层组织,3554,黄松峪乡,基层组织
3555,雷家洼乡,基层组织,3555,雷家洼乡,基层组织
3556,陵前乡,基层组织,3556,陵前乡,基层组织
3557,刘家洼乡,基层组织,3557,刘家洼乡,基层组织
3558,柳林公社,基层组织,3558,柳林公社,基层组织
3559,隆坊镇,基层组织,3559,隆坊镇,基层组织
3560,师家园则公社,基层组织,3560,师家园则公社,基层组织
3561,四季林场,基层组织,3561,四季林场,基层组织
3562,甜水井公社,基层组织,3562,甜水井公社,基层组织
3563,铁炉公社,基层组织,3563,铁炉公社,基层组织
3564,新农村公社,基层组织,3564,新农村公社,基层组织
3565,杏基乡,基层组织,3565,杏基乡,基层组织
3566,雪河公社,基层组织,3566,雪河公社,基层组织
3567,阎良公社,基层组织,3567,阎良公社,基层组织
3568,夜村区,基层组织,3568,夜村区,基层组织
3569,永丰公社,基层组织,3569,永丰公社,基层组织
3570,张家滩公社,基层组织,3570,张家滩公社,基层组织
6636,青年企业家协会,行业协会_人民团体,6636,青年企业家协会,行业协会_人民团体
2734,环卫局,政府_国务院,2734,环卫局,政府_国务院
2735,劳动人事部/厅/局,政府_国务院,2614,劳动和社会保障部/厅/局,政府_国务院
2736,老龄委办公室,政府_国务院,2736,老龄委办公室,政府_国务院
2737,林特局,政府_国务院,2932,农林部/厅/局,政府_国务院
2738,农电管理局,政府_国务院,2738,农电管理局,政府_国务院
2739,西北电管局,政府_国务院,2739,西北电管局,政府_国务院
2740,西部开发领导小组办公室,政府_国务院,2740,西部开发领导小组办公室,政府_国务院
2741,杨凌农业高新技术产业示范区,政府_国务院,2741,杨凌农业高新技术产业示范区,政府_国务院
1428,中央财经领导小组,党委,1310,财经领导小组办公室,党委
2743,财贸办公室,政府_国务院,2743,财贸办公室,政府_国务院
4638,中国青年报,共青团,4638,中国青年报,共青团
5061,中国青年旅行社,中央企业,5061,中国青年旅行社,中央企业
5062,中煤科技集团,中央企业,5062,中煤科技集团,中央企业
5063,中煤信息开发实业总公司,中央企业,5063,中煤信息开发实业总公司,中央企业
1359,讲师团,党委,1359,讲师团,党委
1360,金融工委,党委,1317,金融工作办公室/委员会,党委
1361,精神文明建设办公室,党委,1321,精神文明建设指导委员会办公室,党委
1362,农村“三个代表”重要思想学习教育工作领导小组办公室,党委,1405,“三个代表”重要思想学习教育小组,党委
1363,农村工作部,党委,1363,农村工作部,党委
1364,农村工作委员会,党委,1363,农村工作部,党委
1365,农委政策研究室,党委,2705,农业委员会,政府_国务院
1366,农研室,党委,1353,农业研究室,党委
1367,汽车产业开发区管委会,党委,1367,汽车产业开发区管委会,党委
1368,巡视工作办公室,党委,1368,巡视工作办公室,党委
1369,中央先进性教育活动办公室,党委,1369,中央先进性教育活动办公室,党委
5686,白山市化肥厂,地方企业,5686,白山市化肥厂,地方企业
5687,北京电子显示仪器厂,地方企业,5687,北京电子显示仪器厂,地方企业
5688,长春第一建筑公司,地方企业,5688,长春第一建筑公司,地方企业
5689,长春煤炭科技中心,地方企业,5691,长春煤炭科学研究所,地方企业
5690,长春煤炭科技中心实业开发总公司,地方企业,5691,长春煤炭科学研究所,地方企业
5691,长春煤炭科学研究所,地方企业,5691,长春煤炭科学研究所,地方企业
5692,长春汽车研究所,地方企业,5692,长春汽车研究所,地方企业
5693,长春市油厂,地方企业,5693,长春市油厂,地方企业
5694,长春市种鸡场,地方企业,5694,长春市种鸡场,地方企业
5695,大庆油田,地方企业,2958,大庆石油管理局,政府_国务院
5696,东北内蒙古煤炭工业公司,地方企业,5696,东北内蒙古煤炭工业公司,地方企业
5697,东北证券,地方企业,5697,东北证券,地方企业
5698,福州市第一家具厂,地方企业,5698,福州市第一家具厂,地方企业
5699,官地镇,地方企业,5699,官地镇,地方企业
5700,华春禽业联合公司,地方企业,5700,华春禽业联合公司,地方企业
5701,怀德县运输公司,地方企业,5701,怀德县运输公司,地方企业
5702,淮南化工机械厂,地方企业,5702,淮南化工机械厂,地方企业
5703,吉化公司,地方企业,5703,吉化公司,地方企业
5704,吉林电视台,地方企业,5704,吉林电视台,地方企业
5705,吉林化学工业公司,地方企业,5705,吉林化学工业公司,地方企业
5706,吉林省安装公司,地方企业,5706,吉林省安装公司,地方企业
5707,吉林省第二建筑公司,地方企业,5707,吉林省第二建筑公司,地方企业
5708,吉林省建筑一公司,地方企业,5708,吉林省建筑一公司,地方企业
5709,吉林省兽药厂,地方企业,5709,吉林省兽药厂,地方企业
5710,吉林市第一机械厂,地方企业,5710,吉林市第一机械厂,地方企业
5711,吉林市钢厂,地方企业,5711,吉林市钢厂,地方企业
5712,吉林市农机研究所,地方企业,5712,吉林市农机研究所,地方企业
5713,吉林市冶金工业总公司,地方企业,5713,吉林市冶金工业总公司,地方企业
5714,吉林银行,地方企业,5714,吉林银行,地方企业
5715,吉林油田,地方企业,5715,吉林油田,地方企业
5716,明城钢铁厂,地方企业,5716,明城钢铁厂,地方企业
5717,青海省黎明化工厂,地方企业,5717,青海省黎明化工厂,地方企业
5718,石岗公社,地方企业,5718,石岗公社,地方企业
5719,通化纺织器材厂,地方企业,5719,通化纺织器材厂,地方企业
